name,latitude,longitude,避難対象_洪水,避難対象_崖崩れ、土石流及び地滑り,避難対象_高潮,避難対象_地震,避難対象_津波,避難対象_大規模な火事,避難対象_内水氾濫,避難対象_火山現象,エレベーター有/避難スペースが１階,スロープ等,点字ブロック,だれでもトイレ,その他
平山小学校（校庭）,35.6489151,139.3854636,1,0,0,1,0,1,0,0,0,0,0,0,
滝合小学校（校庭）,35.64520499,139.3728994,0,0,0,1,0,1,0,0,0,0,0,0,
平山台健康・市民支援センター（平山台小跡地校庭）,35.64079102,139.3874829,1,0,0,1,0,1,0,0,0,0,0,0,
八国山緑地,35.76833638,139.4570439,0,0,0,1,0,1,0,0,0,0,0,0,
東村山中央公園,35.74786005,139.4592388,0,0,0,1,0,1,0,0,0,0,0,0,
小平霊園,35.743451,139.485181,0,0,0,1,0,1,0,0,0,0,0,0,
化成小学校,35.764754,139.466187,1,1,0,1,0,0,0,0,1,1,1,1,自動ドア
回田小学校,35.758928,139.445978,1,1,0,1,0,0,0,0,1,1,1,1,
大岱小学校,35.756318,139.478073,0,1,0,1,0,0,0,0,1,1,0,1,
秋津小学校,35.773122,139.482674,1,1,0,1,0,0,0,0,1,1,0,1,
八坂小学校,35.748769,139.465841,1,1,0,1,0,0,0,0,1,1,0,1,
萩山小学校,35.743381,139.478472,1,1,0,1,0,0,0,0,1,1,1,1,
南台小学校,35.743901,139.455275,1,1,0,1,0,0,0,0,1,1,1,1,
久米川小学校,35.76231,139.472401,1,1,0,1,0,0,0,0,1,1,0,1,
東萩山小学校,35.746107,139.47768,1,1,0,1,0,0,0,0,1,1,0,1,
青葉小学校,35.76441,139.490206,1,1,0,1,0,0,0,0,1,1,0,1,
北山小学校,35.766381,139.456448,0,1,0,1,0,0,0,0,1,1,0,1,
